data_generacji,mieszkania_cena_rok,mieszkania_cena_metr_kwadratowy,mieszkania_cena_waluta
2025-01-21 22:47:24.642214+00:00,2010,4556.0,PLN
2025-01-21 22:47:28.841823+00:00,2011,4535.0,PLN
2025-01-21 22:47:33.036435+00:00,2012,4358.0,PLN
2025-01-21 22:47:37.240542+00:00,2013,4359.0,PLN
2025-01-21 22:47:41.435928+00:00,2014,4401.0,PLN
2025-01-21 22:47:45.644649+00:00,2015,4562.0,PLN
2025-01-21 22:47:49.847402+00:00,2016,4635.0,PLN
2025-01-21 22:47:54.048418+00:00,2017,4713.0,PLN
2025-01-21 22:47:58.256780+00:00,2018,4926.0,PLN
2025-01-21 22:48:02.464589+00:00,2019,5202.0,PLN
2025-01-21 22:48:06.658155+00:00,2020,5689.0,PLN
2025-01-21 22:48:10.858703+00:00,2021,6334.0,PLN
2025-01-21 22:48:15.081639+00:00,2022,7224.0,PLN
2025-01-21 22:48:19.288512+00:00,2023,7906.0,PLN
