data_generacji,mieszkania_region,mieszkania_rok,mieszkania_ilosc
2025-01-19 13:45:49.427311+00:00,wieś,2002,4078783
2025-01-19 13:45:51.520255+00:00,wieś,2003,4145475
2025-01-19 13:45:53.622319+00:00,wieś,2004,4170321
2025-01-19 13:45:55.731659+00:00,wieś,2005,4195935
2025-01-19 13:45:57.863880+00:00,wieś,2006,4220724
2025-01-19 13:45:59.975597+00:00,wieś,2007,4255186
2025-01-19 13:46:02.073853+00:00,wieś,2008,4303567
2025-01-19 13:46:04.184197+00:00,wieś,2009,4343268
2025-01-19 13:46:06.278490+00:00,wieś,2010,4382646
2025-01-19 13:46:08.375343+00:00,wieś,2011,4422282
2025-01-19 13:46:10.487149+00:00,wieś,2012,4469245
2025-01-19 13:46:12.600026+00:00,wieś,2013,4517178
2025-01-19 13:46:14.702469+00:00,wieś,2014,4558765
2025-01-19 13:46:16.812509+00:00,wieś,2015,4603584
2025-01-19 13:46:18.909408+00:00,wieś,2016,4652517
2025-01-19 13:46:21.025065+00:00,wieś,2017,4700077
2025-01-19 13:46:23.139325+00:00,wieś,2018,4750304
2025-01-19 13:46:25.236918+00:00,wieś,2019,4803795
2025-01-19 13:46:27.336909+00:00,wieś,2020,4894075
2025-01-19 13:46:29.444831+00:00,wieś,2021,4946600
2025-01-19 13:46:31.555929+00:00,wieś,2022,5014090
2025-01-19 13:46:33.653015+00:00,wieś,2023,5074023
2025-01-19 13:46:35.969999+00:00,miasto,2002,8359243
2025-01-19 13:46:38.063868+00:00,miasto,2003,8450416
2025-01-19 13:46:40.182676+00:00,miasto,2004,8513071
2025-01-19 13:46:42.289014+00:00,miasto,2005,8580205
2025-01-19 13:46:44.390333+00:00,miasto,2006,8655952
2025-01-19 13:46:46.515478+00:00,miasto,2007,8738530
2025-01-19 13:46:48.615738+00:00,miasto,2008,8846727
2025-01-19 13:46:50.730053+00:00,miasto,2009,8959181
2025-01-19 13:46:52.841826+00:00,miasto,2010,9087782
2025-01-19 13:46:54.952780+00:00,miasto,2011,9165158
2025-01-19 13:46:57.063320+00:00,miasto,2012,9253541
2025-01-19 13:46:59.164749+00:00,miasto,2013,9335718
2025-01-19 13:47:01.275792+00:00,miasto,2014,9424274
2025-01-19 13:47:03.380201+00:00,miasto,2015,9515868
2025-01-19 13:47:05.490456+00:00,miasto,2016,9619493
2025-01-19 13:47:07.590211+00:00,miasto,2017,9739700
2025-01-19 13:47:09.704149+00:00,miasto,2018,9864808
2025-01-19 13:47:11.804052+00:00,miasto,2019,10008979
2025-01-19 13:47:13.920307+00:00,miasto,2020,10296657
2025-01-19 13:47:16.019421+00:00,miasto,2021,10412907
2025-01-19 13:47:18.129377+00:00,miasto,2022,10561086
2025-01-19 13:47:20.242265+00:00,miasto,2023,10705220
