data_generacji,wynagrodzenia_rok,wynagrodzenia_wartosc,wynagrodzenia_waluta
2025-01-16 20:15:00.738859+00:00,2002,2239.56,PLN
2025-01-16 20:15:05.871296+00:00,2003,2314.66,PLN
2025-01-16 20:15:11.342735+00:00,2004,2409.69,PLN
2025-01-16 20:15:16.489640+00:00,2005,2506.93,PLN
2025-01-16 20:15:21.730114+00:00,2006,2636.81,PLN
2025-01-16 20:15:27.016587+00:00,2007,2866.04,PLN
2025-01-16 20:15:32.722383+00:00,2008,3158.48,PLN
2025-01-16 20:15:37.864504+00:00,2009,3315.38,PLN
2025-01-16 20:15:43.141277+00:00,2010,3435.0,PLN
2025-01-16 20:15:49.172143+00:00,2011,3625.21,PLN
2025-01-16 20:15:54.487307+00:00,2012,3744.38,PLN
2025-01-16 20:16:00.158836+00:00,2013,3877.43,PLN
2025-01-16 20:16:07.402134+00:00,2014,4003.99,PLN
2025-01-16 20:16:12.670256+00:00,2015,4150.86,PLN
2025-01-16 20:16:17.964322+00:00,2016,4290.52,PLN
2025-01-16 20:16:23.235220+00:00,2017,4527.89,PLN
2025-01-16 20:16:28.527850+00:00,2018,4834.76,PLN
2025-01-16 20:16:34.189837+00:00,2019,5181.63,PLN
2025-01-16 20:16:39.298399+00:00,2020,5523.32,PLN
2025-01-16 20:16:44.389818+00:00,2021,6001.02,PLN
2025-01-16 20:16:49.488998+00:00,2022,6705.62,PLN
2025-01-16 20:16:54.599495+00:00,2023,7595.3,PLN
